,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
62,Indian,4.7,Public,128,4400,11600,91,2
63,Paytm,3.6,Public,13,4400,21500,340,323
64,Bandhan,3.9,Public,22,4300,16800,277,60
65,ITC,3.9,Public,48,4300,20500,315,62
66,Mindtree,4.0,Public,24,4300,40300,604,25
67,Hindustan,4.3,Public,90,4100,21000,189,59
68,Ujjivan,4.1,Public,6,4100,11400,129,19
69,JP,4.2,Private,23,4100,35400,338,367
70,Delhivery,4.1,Private,12,4100,14200,241,201
71,Wells,4.2,Public,171,4,31700,246,81
72,IIFL,3.9,Public,28,4,16800,182,117
73,Home,4.2,Private,11,4,12400,83,40
74,OPPO,3.9,Public,19,3800,14200,143,17
75,AU,4.0,Private,27,3800,15300,230,39
76,Sun,4.1,Public,40,3800,15900,191,47
77,Ashok,4.1,Public,75,3700,16800,140,1
78,Amazon,4.3,Private,23,3700,1900,251,9
79,TATA,4.2,Public,116,3700,18100,348,42
80,Shriram,4.1,Public,44,3700,9400,127,2
81,Shapoorji,4.2,Private,158,3700,14800,188,31
82,Quess,4.0,Public,16,3700,21800,219,166
83,Zydus,4.2,Public,71,3700,11400,137,31
84,Vivo,4.0,Private,14,3700,14300,121,1
85,Hexaware,3.7,Private,33,3700,27200,307,267
86,Aurobindo,4.0,Public,37,3700,15000,143,6
87,JSW,3.9,Public,41,3600,17000,260,55
88,Muthoot,3.6,Public,84,3600,10900,133,33
89,Apollo,4.1,Public,40,3600,15000,163,65
90,eClerx,3.5,Public,23,3600,14100,249,44
91,Mahindra,4.3,Public,32,3600,11500,73,16
92,Max,4.2,Private,23,3600,15200,159,241
93,Siemens,4.2,Public,176,3600,23200,208,265
94,Oracle,3.9,Public,46,3500,36300,423,185
95,Tata,4.2,Public,44,3500,17700,212,13
96,First,3.9,Public,22,3500,13800,137,48
97,Nokia,4.3,Private,158,3400,23200,173,82
98,JLL,4.2,Private,26,3400,15500,149,49
99,Hewlett,4.3,Private,8,3400,27700,150,46
100,Hero,4.2,Public,39,3400,12800,201,6
101,JustDial,3.6,Public,27,3300,12700,183,68
102,Bajaj,4.1,Private,22,3300,14600,160,27
103,Fidelity,4.0,Private,55,3200,26800,158,17
104,Cyient,3.7,Public,32,3200,15700,140,131
105,Reliance,4.0,Public,21,3200,14600,55,2
106,Omega,3.8,Private,19,3200,13100,156,66
107,Megha,4.1,Private,34,3200,12700,233,28
108,Hyundai,4.3,Private,56,3100,12100,145,5
109,TVS,4.1,Public,44,3100,14300,165,15
110,Oyo,3.5,Private,10,3100,22400,136,46
111,L,4.0,Public,79,3100,12900,342,2
112,Intelenet,3.7,Private,23,3100,10400,29,2
113,D,3.9,Private,4,3100,11900,185,94
114,Future,4.3,Private,10,3100,13100,63,8
115,Bosch,4.3,Public,137,3100,17000,189,13
116,BigBasket,4.1,Private,12,3,12800,207,93
